time(ms);MISFIRE;CATEMP11(°C);CATEMP21(°C);ECT(°C);TFTV(V);RPM(1/min);O2S12(V);O2S22(V)
2625;No;477;477;93;0.93;662;0.78;0.74
2670;No;477;477;93;0.93;662;0.78;0.74
2710;No;477;477;93;0.93;663;0.78;0.74
2749;No;477;477;93;0.93;663;0.79;0.74
2805;No;477;477;93;0.93;663;0.79;0.74
2847;No;477;477;93;0.93;663;0.79;0.74
2885;No;477;477;93;0.93;663;0.79;0.74
2924;No;477;477;93;0.93;664;0.79;0.74
2990;No;477;477;93;0.93;665;0.79;0.74
3032;No;477;477;93;0.93;666;0.79;0.74
3105;No;477;477;93;0.93;668;0.79;0.74
3169;No;477;477;93;0.93;669;0.79;0.74
3208;No;477;477;93;0.93;670;0.78;0.74
3247;No;477;477;93;0.93;671;0.78;0.74
3289;No;477;477;93;0.93;672;0.78;0.73
3336;No;477;477;93;0.93;672;0.78;0.73
3409;No;477;477;93;0.93;673;0.78;0.73
3448;No;477;477;93;0.93;673;0.78;0.73
3488;No;477;477;93;0.93;673;0.78;0.73
3560;No;477;477;93;0.93;673;0.78;0.73
3600;No;477;477;93;0.93;674;0.78;0.73
3640;No;477;477;93;0.93;674;0.78;0.73
3705;No;477;477;93;0.93;674;0.77;0.73
3747;No;477;477;93;0.93;674;0.77;0.73
3787;No;477;477;93;0.93;674;0.78;0.73
3827;No;477;477;93;0.93;674;0.78;0.73
3867;No;477;476;93;0.93;674;0.78;0.73
3907;No;477;476;93;0.93;674;0.78;0.73
4006;No;476;476;93;0.93;674;0.79;0.73
4046;No;476;476;93;0.93;674;0.79;0.73
4085;No;476;476;93;0.93;674;0.79;0.73
4128;No;476;476;93;0.93;678;0.79;0.73
4169;No;476;476;93;0.93;682;0.79;0.73
4212;No;476;476;93;0.93;686;0.79;0.73
4226;No;476;476;93;0.93;691;0.80;0.73
4266;No;476;476;93;0.93;695;0.80;0.73
4340;No;476;476;93;0.93;700;0.80;0.73
4385;No;476;476;93;0.93;704;0.80;0.73
4425;No;476;476;93;0.93;708;0.80;0.73
4489;No;476;476;93;0.93;698;0.80;0.73
4530;No;476;476;93;0.93;686;0.80;0.73
4570;No;476;476;93;0.93;676;0.80;0.73
4662;No;476;476;93;0.93;665;0.80;0.73
4677;No;476;476;93;0.93;654;0.80;0.73
4718;No;476;476;93;0.93;643;0.80;0.73
4757;No;476;476;93;0.93;632;0.80;0.73
4804;No;476;476;93;0.93;621;0.80;0.73
4844;No;476;476;93;0.93;618;0.80;0.73
4913;No;476;476;93;0.93;615;0.79;0.73
4956;No;476;476;93;0.93;612;0.79;0.73
4997;No;476;476;93;0.93;609;0.79;0.73
5037;No;476;476;93;0.93;606;0.79;0.73
5077;No;476;476;93;0.93;603;0.79;0.73
5118;No;476;476;93;0.93;600;0.78;0.73
5158;No;476;476;93;0.93;597;0.78;0.73
5218;No;476;476;93;0.93;604;0.78;0.73
5260;No;476;476;93;0.93;611;0.78;0.73
5300;No;476;476;93;0.93;618;0.78;0.73
5340;No;476;476;93;0.93;624;0.78;0.73
5380;No;476;476;93;0.93;631;0.79;0.73
5419;No;476;476;93;0.93;638;0.79;0.73
5459;No;476;476;93;0.93;645;0.79;0.73
5508;No;476;476;93;0.93;652;0.79;0.73
5548;No;476;476;93;0.93;653;0.79;0.73
5593;No;476;476;93;0.93;655;0.79;0.73
5607;No;476;476;93;0.93;657;0.79;0.73
5647;No;476;476;93;0.93;658;0.80;0.73
5687;No;476;476;93;0.93;660;0.80;0.73
5727;No;476;476;93;0.93;662;0.80;0.73
5768;No;476;476;93;0.93;664;0.80;0.73
5818;No;476;476;93;0.93;665;0.80;0.73
5857;No;476;476;93;0.93;688;0.80;0.73
5897;No;476;476;93;0.93;710;0.80;0.73
5944;No;476;476;93;0.93;733;0.80;0.73
5984;No;476;476;93;0.93;756;0.80;0.73
6051;No;476;476;93;0.93;778;0.80;0.73
6108;No;476;476;93;0.93;801;0.80;0.73
6149;No;476;476;93;0.93;824;0.81;0.73
6189;No;476;476;93;0.93;846;0.81;0.73
6229;No;476;476;93;0.93;839;0.81;0.73
6270;No;476;476;93;0.93;832;0.81;0.73
6310;No;476;476;93;0.93;824;0.80;0.73
6327;No;476;476;93;0.93;816;0.80;0.73
6365;No;476;476;93;0.93;809;0.80;0.73
6418;No;476;476;93;0.93;801;0.80;0.73
6460;No;476;476;93;0.93;794;0.80;0.73
6505;No;476;476;93;0.93;786;0.80;0.73
6551;No;475;476;93;0.93;788;0.80;0.73
6568;No;475;475;93;0.93;790;0.80;0.73
6608;No;475;475;93;0.93;792;0.80;0.73
6650;No;475;475;93;0.93;794;0.79;0.73
6708;No;475;475;93;0.93;795;0.79;0.73
6753;No;475;475;93;0.93;797;0.79;0.73
6793;No;475;475;93;0.93;799;0.79;0.73
6806;No;475;475;93;0.93;801;0.79;0.73
6851;No;475;475;93;0.93;814;0.79;0.73
6869;No;475;475;93;0.93;828;0.79;0.73
6913;No;475;475;93;0.93;842;0.79;0.73
6927;No;475;475;93;0.93;856;0.78;0.73
7008;No;475;475;93;0.93;869;0.78;0.73
7051;No;476;475;93;0.93;883;0.78;0.73
7091;No;476;476;93;0.93;896;0.77;0.73
7107;No;476;476;93;0.93;910;0.77;0.73
7146;No;476;476;93;0.93;938;0.77;0.73
7214;No;476;476;93;0.93;965;0.78;0.73
7307;No;476;476;93;0.93;992;0.78;0.73
7348;No;476;476;93;0.93;1020;0.79;0.73
7392;No;476;476;93;0.93;1047;0.80;0.73
7406;No;476;476;93;0.93;1074;0.81;0.73
7445;No;476;476;93;0.93;1102;0.82;0.73
7485;No;476;476;93;0.93;1129;0.82;0.74
7526;No;476;476;93;0.93;1142;0.83;0.74
7570;No;476;476;93;0.93;1154;0.83;0.74
7617;No;476;476;93;0.93;1166;0.83;0.74
7656;No;476;476;93;0.93;1178;0.83;0.74
7697;No;476;476;93;0.93;1191;0.83;0.74
7735;No;476;476;93;0.93;1203;0.83;0.75
7781;No;476;476;93;0.93;1215;0.83;0.75
7826;No;476;476;93;0.93;1228;0.83;0.75
7869;No;476;476;93;0.93;1239;0.84;0.75
7918;No;476;476;93;0.93;1250;0.84;0.75
7958;No;476;476;93;0.93;1262;0.84;0.75
7976;No;476;476;93;0.93;1273;0.84;0.75
8015;No;476;476;93;0.93;1284;0.84;0.75
8055;No;476;476;93;0.93;1296;0.84;0.76
8065;No;476;476;93;0.93;1307;0.84;0.76
8105;No;476;476;93;0.93;1318;0.84;0.76
8129;No;476;476;93;0.93;1330;0.84;0.76
8168;No;476;476;93;0.93;1342;0.83;0.76
8217;No;476;476;93;0.93;1354;0.82;0.76
8258;No;476;476;93;0.93;1366;0.82;0.75
8276;No;476;476;93;0.93;1378;0.81;0.75
8317;No;476;476;93;0.93;1390;0.80;0.75
8357;No;477;476;93;0.93;1402;0.80;0.75
8397;No;477;477;93;0.93;1414;0.79;0.75
8459;No;477;477;93;0.93;1434;0.78;0.75
8508;No;477;477;93;0.93;1456;0.79;0.74
8548;No;477;477;93;0.93;1477;0.79;0.74
8588;No;477;477;93;0.93;1498;0.79;0.74
8628;No;477;477;93;0.93;1519;0.79;0.74
8674;No;477;477;93;0.93;1540;0.79;0.74
8714;No;477;477;93;0.93;1561;0.80;0.74
8808;No;477;477;93;0.93;1582;0.80;0.74
8847;No;477;477;93;0.93;1598;0.80;0.74
8890;No;477;477;93;0.93;1614;0.80;0.74
8928;No;477;477;93;0.93;1631;0.79;0.74
8967;No;477;477;93;0.93;1647;0.78;0.74
9008;No;477;477;93;0.93;1663;0.78;0.74
9050;No;477;477;93;0.93;1680;0.77;0.74
9108;No;477;477;93;0.93;1696;0.77;0.74
9150;No;478;477;93;0.93;1712;0.76;0.74
9190;No;478;478;93;0.93;1727;0.75;0.73
9206;No;478;478;93;0.93;1741;0.75;0.73
9246;No;478;478;93;0.93;1756;0.75;0.73
9287;No;478;478;93;0.93;1770;0.75;0.73
9327;No;478;478;93;0.93;1785;0.75;0.73
9367;No;478;478;93;0.93;1800;0.75;0.73
9417;No;478;478;93;0.93;1814;0.75;0.73
9463;No;478;478;93;0.93;1829;0.75;0.73
9511;No;478;478;93;0.93;1814;0.75;0.73
9551;No;478;478;93;0.93;1800;0.76;0.73
9566;No;478;478;93;0.93;1786;0.76;0.73
9609;No;478;478;93;0.93;1771;0.76;0.73
9649;No;478;478;93;0.93;1757;0.77;0.73
9709;No;478;478;93;0.93;1742;0.77;0.74
9747;No;478;478;93;0.93;1728;0.78;0.74
9786;No;478;478;93;0.93;1713;0.78;0.74
9807;No;479;479;93;0.93;1668;0.78;0.74
9845;No;479;479;93;0.93;1622;0.78;0.74
9885;No;479;479;93;0.93;1577;0.77;0.74
9925;No;479;479;93;0.93;1532;0.77;0.74
9967;No;479;479;93;0.93;1486;0.76;0.74
10016;No;479;479;93;0.93;1440;0.75;0.74
10058;No;479;479;93;0.93;1395;0.75;0.74
10098;No;479;479;93;0.93;1350;0.74;0.74
10137;No;479;479;93;0.93;1331;0.74;0.73
10184;No;479;480;93;0.93;1312;0.74;0.73
10250;No;480;480;93;0.93;1294;0.74;0.73
10309;No;480;480;93;0.93;1275;0.74;0.73
10348;No;480;480;93;0.93;1256;0.74;0.73
10389;No;480;480;93;0.93;1238;0.74;0.73
10429;No;480;480;93;0.93;1219;0.74;0.73
10470;No;480;480;93;0.93;1200;0.74;0.73
10509;No;480;480;93;0.93;1203;0.74;0.73
10549;No;480;480;93;0.93;1206;0.75;0.73
10609;No;480;480;93;0.93;1209;0.75;0.73
10648;No;480;480;93;0.93;1212;0.75;0.73
10690;No;480;480;93;0.93;1214;0.76;0.73
10707;No;480;480;93;0.93;1217;0.76;0.73
10748;No;480;480;93;0.93;1220;0.77;0.73
10788;No;481;480;93;0.93;1222;0.77;0.74
10827;No;481;481;93;0.93;1225;0.77;0.74
10869;No;481;481;93;0.93;1227;0.77;0.74
10917;No;481;481;93;0.93;1229;0.77;0.74
10966;No;481;481;93;0.93;1232;0.77;0.74
11017;No;481;481;93;0.93;1234;0.77;0.74
11058;No;481;481;93;0.93;1236;0.77;0.74
11099;No;481;481;93;0.93;1238;0.77;0.74
11142;No;481;481;93;0.93;1241;0.77;0.75
11157;No;481;481;93;0.93;1242;0.77;0.75
11208;No;481;481;93;0.93;1242;0.77;0.75
11248;No;481;481;93;0.93;1243;0.77;0.75
11288;No;481;481;93;0.93;1244;0.77;0.75
11307;No;481;481;93;0.93;1244;0.76;0.75
11347;No;481;481;93;0.93;1245;0.76;0.75
11387;No;481;481;93;0.93;1246;0.76;0.75
11427;No;482;482;93;0.93;1246;0.76;0.74
11469;No;482;482;93;0.93;1240;0.75;0.74
11519;No;482;482;93;0.93;1232;0.75;0.74
11560;No;482;482;93;0.93;1226;0.75;0.74
11577;No;482;482;93;0.93;1219;0.75;0.74
11620;No;482;482;93;0.93;1212;0.75;0.74
11665;No;482;482;93;0.93;1205;0.75;0.74
11705;No;482;482;93;0.93;1198;0.75;0.74
11745;No;482;482;93;0.93;1192;0.75;0.74
11808;No;482;482;93;0.93;1190;0.75;0.74
11853;No;482;482;93;0.93;1190;0.75;0.74
11891;No;482;482;93;0.93;1189;0.75;0.74
11907;No;482;482;93;0.93;1188;0.75;0.74
11946;No;482;482;93;0.94;1187;0.75;0.74
11987;No;482;482;93;0.94;1186;0.75;0.74
12042;No;482;482;93;0.94;1185;0.75;0.74
12056;No;482;482;93;0.94;1184;0.75;0.74
12107;No;482;482;93;0.94;1184;0.75;0.74
12148;No;482;482;93;0.94;1184;0.75;0.74
12187;No;482;482;93;0.94;1184;0.75;0.74
12207;No;482;482;93;0.94;1184;0.75;0.74
12245;No;482;482;93;0.94;1184;0.75;0.74
12297;No;482;482;93;0.94;1185;0.75;0.74
12336;No;482;482;93;0.94;1185;0.74;0.74
12356;No;482;482;93;0.94;1185;0.74;0.73
12408;No;482;482;93;0.94;1184;0.74;0.73
12447;No;482;482;93;0.94;1182;0.74;0.73
12485;No;482;482;93;0.94;1181;0.74;0.73
12526;No;482;482;93;0.94;1180;0.75;0.73
12567;No;482;482;93;0.94;1179;0.75;0.73
12614;No;482;482;93;0.94;1178;0.75;0.73
12627;No;482;482;93;0.94;1176;0.75;0.73
12666;No;482;482;93;0.94;1175;0.75;0.73
12717;No;482;482;93;0.94;1173;0.75;0.73
12758;No;482;482;93;0.94;1171;0.75;0.73
12776;No;482;482;93;0.94;1169;0.75;0.73
12816;No;482;482;93;0.94;1167;0.75;0.73
12857;No;482;482;93;0.95;1165;0.75;0.73
12897;No;482;482;93;0.95;1163;0.75;0.73
12937;No;482;482;93;0.95;1161;0.75;0.73
12957;No;482;482;93;0.95;1159;0.75;0.73
13008;No;482;482;93;0.95;1156;0.75;0.73
13054;No;482;482;93;0.95;1152;0.75;0.73
13093;No;482;482;93;0.95;1148;0.75;0.73
13107;No;482;482;93;0.95;1145;0.75;0.73
13150;No;482;482;93;0.95;1142;0.75;0.73
13166;No;482;482;93;0.95;1138;0.75;0.73
13206;No;482;482;93;0.95;1134;0.74;0.73
13246;No;482;482;93;0.95;1131;0.74;0.73
13310;No;482;482;93;0.95;1126;0.74;0.73
13350;No;482;482;93;0.94;1122;0.74;0.73
13389;No;482;482;93;0.94;1117;0.74;0.73
13429;No;482;482;93;0.94;1112;0.74;0.73
13471;No;482;482;93;0.94;1108;0.74;0.73
13510;No;482;482;93;0.94;1103;0.74;0.73
13566;No;482;482;93;0.94;1098;0.74;0.73
13652;No;482;482;93;0.94;1094;0.74;0.72
13693;No;482;482;93;0.94;1090;0.74;0.72
13707;No;482;482;94;0.94;1086;0.74;0.72
13747;No;482;482;94;0.94;1082;0.74;0.72
13788;No;482;482;94;0.94;1078;0.74;0.72
13831;No;482;482;94;0.94;1074;0.74;0.72
13872;No;482;482;94;0.94;1070;0.74;0.72
13917;No;482;482;94;0.94;1066;0.74;0.72
13962;No;483;482;94;0.94;1062;0.74;0.72
13977;No;483;483;94;0.94;1052;0.74;0.72
14016;No;483;483;94;0.94;1043;0.74;0.72
14055;No;483;483;94;0.94;1034;0.74;0.72
14121;No;483;483;94;0.94;1025;0.74;0.72
14160;No;483;483;94;0.94;1016;0.74;0.72
14207;No;483;483;94;0.94;1006;0.74;0.72
14247;No;483;483;94;0.94;997;0.74;0.72
14285;No;483;483;94;0.94;988;0.74;0.72
14307;No;483;483;94;0.94;978;0.74;0.72
14346;No;483;483;94;0.94;968;0.74;0.72
14385;No;483;483;94;0.94;958;0.74;0.72
14450;No;483;483;94;0.94;949;0.74;0.72
14516;No;483;483;94;0.94;939;0.74;0.72
14555;No;483;483;94;0.94;929;0.74;0.72
14593;No;483;483;94;0.94;920;0.74;0.72
14606;No;483;483;94;0.94;910;0.74;0.72
14648;No;483;483;94;0.94;902;0.74;0.72
14666;No;483;483;94;0.94;894;0.74;0.72
14708;No;483;483;94;0.94;886;0.74;0.72
14749;No;483;483;94;0.94;878;0.74;0.72
14808;No;483;483;94;0.94;870;0.74;0.72
14857;No;483;483;94;0.94;862;0.74;0.72
14897;No;483;483;94;0.94;854;0.74;0.72
14937;No;483;483;94;0.94;846;0.74;0.72
14977;No;483;483;94;0.94;838;0.74;0.72
15020;No;483;483;94;0.94;830;0.74;0.72
15065;No;483;483;94;0.94;822;0.74;0.72
15110;No;483;483;94;0.94;815;0.74;0.72
15149;No;483;483;94;0.94;807;0.74;0.72
15193;No;483;483;94;0.94;799;0.74;0.72
15239;No;483;483;94;0.94;792;0.74;0.72
15278;No;483;483;94;0.94;784;0.74;0.72
15317;No;483;483;94;0.94;788;0.74;0.72
15356;No;483;483;94;0.94;792;0.74;0.72
15407;No;483;483;94;0.94;796;0.74;0.72
15448;No;483;483;94;0.94;800;0.74;0.72
15489;No;483;483;94;0.94;804;0.74;0.72
15527;No;483;483;94;0.94;808;0.74;0.72
15568;No;483;483;94;0.94;812;0.74;0.72
15617;No;483;483;94;0.94;816;0.74;0.72
15657;No;483;483;94;0.94;809;0.74;0.72
15708;No;483;483;94;0.94;802;0.74;0.72
15746;No;483;483;94;0.94;796;0.74;0.72
15789;No;483;483;94;0.94;790;0.73;0.72
15807;No;483;483;94;0.94;783;0.73;0.72
15847;No;483;483;94;0.94;776;0.73;0.72
15885;No;483;483;94;0.94;770;0.73;0.72
15925;No;483;483;94;0.94;763;0.73;0.71
15971;No;483;483;94;0.94;764;0.73;0.71
16017;No;483;483;94;0.94;764;0.73;0.71
16055;No;483;483;93;0.94;765;0.73;0.71
16094;No;483;483;93;0.94;765;0.73;0.71
16106;No;483;483;93;0.94;766;0.73;0.71
16137;No;483;483;93;0.94;766;0.73;0.71
16182;No;483;483;93;0.94;767;0.73;0.71
16220;No;483;483;93;0.94;768;0.73;0.71
16259;No;483;483;93;0.94;773;0.73;0.71
16317;No;483;483;93;0.94;778;0.73;0.70
16355;No;483;483;93;0.94;784;0.73;0.70
16400;No;483;483;93;0.94;789;0.73;0.70
16439;No;483;483;93;0.95;795;0.73;0.70
16480;No;483;483;93;0.95;800;0.73;0.70
16519;No;483;483;93;0.95;806;0.73;0.70
16560;No;483;483;93;0.95;811;0.73;0.70
16608;No;483;483;93;0.95;816;0.73;0.70
16646;No;483;483;93;0.95;822;0.73;0.70
16691;No;483;483;93;0.95;827;0.73;0.71
16710;No;483;483;93;0.95;832;0.73;0.71
16750;No;483;483;93;0.95;837;0.73;0.71
16789;No;483;483;93;0.95;842;0.73;0.71
16836;No;483;483;93;0.95;848;0.73;0.71
16908;No;483;483;93;0.95;853;0.73;0.71
16947;No;483;483;93;0.95;856;0.73;0.71
16985;No;483;483;93;0.95;858;0.73;0.71
17006;No;483;483;93;0.95;861;0.73;0.71
17045;No;483;483;93;0.95;864;0.73;0.71
17083;No;483;483;93;0.95;867;0.73;0.71
17149;No;483;483;93;0.95;870;0.73;0.71
17207;No;483;483;93;0.95;872;0.73;0.71
17254;No;484;483;93;0.95;875;0.73;0.71
17292;No;484;484;93;0.95;912;0.73;0.71
17362;No;484;484;93;0.95;948;0.73;0.71
17416;No;484;484;93;0.95;985;0.73;0.71
17457;No;484;484;93;0.95;1021;0.73;0.71
17508;No;484;484;93;0.95;1058;0.73;0.71
17546;No;484;484;93;0.95;1094;0.73;0.71
17586;No;484;484;93;0.95;1130;0.73;0.71
17626;No;484;484;93;0.95;1167;0.73;0.71
17672;No;484;484;93;0.95;1195;0.73;0.71
17714;No;484;484;93;0.95;1223;0.73;0.71
17727;No;484;484;93;0.95;1251;0.73;0.71
17767;No;484;484;93;0.95;1279;0.73;0.71
17818;No;484;484;93;0.95;1306;0.73;0.71
17859;No;484;484;93;0.95;1334;0.73;0.71
17898;No;484;484;93;0.95;1362;0.73;0.71
17937;No;484;484;93;0.95;1390;0.73;0.71
17976;No;484;484;93;0.95;1396;0.73;0.71
17998;No;484;484;93;0.95;1402;0.74;0.71
18037;No;484;484;93;0.95;1408;0.75;0.71
18107;No;484;484;93;0.95;1414;0.77;0.72
18147;No;484;485;93;0.95;1420;0.78;0.72
18187;No;485;485;93;0.95;1426;0.79;0.73
18227;No;485;485;93;0.95;1432;0.80;0.73
18265;No;485;485;93;0.95;1438;0.81;0.73
18306;No;485;485;93;0.95;1449;0.83;0.74
18345;No;485;485;93;0.94;1461;0.82;0.74
18409;No;485;485;93;0.94;1472;0.82;0.74
18449;No;485;485;93;0.94;1484;0.82;0.74
18488;No;485;485;93;0.94;1495;0.82;0.74
18531;No;485;485;93;0.94;1507;0.81;0.74
18577;No;485;485;93;0.94;1518;0.81;0.74
18616;No;485;485;93;0.94;1530;0.81;0.74
18657;No;485;486;93;0.94;1539;0.81;0.74
18729;No;486;486;93;0.94;1548;0.80;0.74
18747;No;486;486;93;0.94;1556;0.79;0.74
18787;No;486;486;93;0.94;1565;0.79;0.74
18826;No;486;486;93;0.94;1574;0.78;0.74
18867;No;486;486;93;0.94;1583;0.78;0.74
18915;No;486;486;93;0.94;1592;0.77;0.73
18966;No;486;486;93;0.94;1600;0.76;0.73
19018;No;486;486;93;0.94;1598;0.76;0.73
19057;No;486;486;93;0.94;1595;0.76;0.73
19098;No;486;486;93;0.94;1592;0.77;0.73
19144;No;486;486;93;0.94;1590;0.77;0.73
19183;No;486;486;93;0.94;1587;0.78;0.73
19249;No;487;486;93;0.94;1584;0.78;0.73
19308;No;487;487;93;0.94;1582;0.79;0.73
19348;No;487;487;93;0.94;1579;0.79;0.72
19378;No;487;487;93;0.94;1547;0.80;0.72
19418;No;487;487;93;0.94;1515;0.79;0.72
19456;No;487;487;93;0.94;1482;0.79;0.72
19497;No;487;487;93;0.94;1450;0.79;0.72
19543;No;487;487;93;0.94;1418;0.79;0.72
19557;No;487;487;93;0.94;1386;0.79;0.72
19609;No;487;487;93;0.94;1353;0.79;0.72
19648;No;487;487;93;0.94;1321;0.78;0.72
19687;No;487;488;93;0.94;1285;0.78;0.72
19706;No;488;488;93;0.94;1249;0.78;0.72
19751;No;488;488;93;0.94;1213;0.78;0.72
19790;No;488;488;93;0.94;1177;0.78;0.72
19831;No;488;488;93;0.94;1141;0.77;0.72
19873;No;488;488;93;0.94;1105;0.77;0.72
19917;No;488;488;93;0.94;1069;0.77;0.72
19977;No;488;488;93;0.94;1033;0.77;0.72
20016;No;488;488;93;0.94;1030;0.76;0.72
20058;No;488;488;93;0.94;1027;0.76;0.72
20104;No;488;488;93;0.94;1024;0.76;0.72
20144;No;488;488;93;0.94;1021;0.76;0.72
20156;No;488;488;93;0.94;1018;0.76;0.72
20208;No;488;488;93;0.94;1015;0.76;0.72
20249;No;488;488;93;0.94;1012;0.76;0.72
20290;No;488;488;93;0.94;1009;0.76;0.71
20307;No;488;488;93;0.94;1010;0.76;0.71
20349;No;488;488;93;0.94;1010;0.76;0.71
20367;No;488;488;93;0.94;1011;0.76;0.71
20407;No;488;488;93;0.94;1012;0.75;0.71
20446;No;488;488;93;0.94;1012;0.75;0.71
20508;No;488;488;93;0.94;1013;0.75;0.71
20548;No;488;488;93;0.94;1014;0.75;0.71
20595;No;488;488;93;0.94;1014;0.75;0.71
20606;No;488;488;93;0.94;1005;0.75;0.71
20649;No;488;488;93;0.94;996;0.75;0.71
20687;No;489;488;93;0.94;987;0.75;0.71
20729;No;489;489;93;0.94;978;0.75;0.71
20769;No;489;489;93;0.94;970;0.75;0.71
20817;No;489;489;93;0.94;960;0.75;0.71
20856;No;489;489;93;0.94;952;0.76;0.71
20897;No;489;489;93;0.94;943;0.76;0.71
20943;No;489;489;93;0.94;942;0.76;0.71
20984;No;489;489;93;0.94;942;0.76;0.71
21048;No;489;489;93;0.94;942;0.76;0.71
21108;No;489;489;93;0.94;942;0.75;0.71
21149;No;489;489;93;0.94;941;0.75;0.71
21189;No;489;489;93;0.94;941;0.75;0.71
21229;No;489;489;93;0.94;940;0.75;0.71
21267;No;489;489;93;0.94;940;0.75;0.71
21307;No;489;489;93;0.94;946;0.75;0.71
21328;No;489;489;93;0.94;953;0.75;0.71
21369;No;489;489;93;0.94;959;0.75;0.71
21418;No;489;489;93;0.94;965;0.75;0.71
21458;No;489;489;93;0.94;972;0.75;0.71
21498;No;489;489;93;0.94;978;0.75;0.71
21536;No;489;489;93;0.94;984;0.74;0.71
21577;No;489;489;93;0.94;990;0.74;0.71
21616;No;489;489;93;0.94;989;0.74;0.71
21656;No;489;489;93;0.94;988;0.74;0.71
21709;No;489;489;93;0.94;986;0.74;0.71
21749;No;489;489;93;0.94;985;0.74;0.71
21788;No;489;489;93;0.94;984;0.74;0.71
21827;No;489;489;93;0.94;982;0.74;0.71
21868;No;489;489;93;0.94;981;0.74;0.71
21908;No;489;489;93;0.94;980;0.74;0.71
21949;No;489;489;93;0.94;988;0.74;0.71
22018;No;489;489;93;0.94;998;0.74;0.71
22059;No;489;489;93;0.94;1006;0.74;0.71
22106;No;489;489;93;0.94;1016;0.74;0.71
22146;No;489;489;93;0.94;1024;0.74;0.71
22166;No;489;489;93;0.94;1034;0.74;0.71
22207;No;489;489;93;0.94;1042;0.74;0.71
22226;No;489;489;93;0.94;1052;0.74;0.71
22265;No;489;489;93;0.94;1057;0.74;0.71
22316;No;489;489;93;0.94;1063;0.74;0.71
22363;No;489;489;93;0.94;1069;0.74;0.71
22430;No;489;489;93;0.94;1074;0.74;0.71
22474;No;489;489;93;0.95;1080;0.74;0.71
22538;No;490;489;93;0.95;1086;0.74;0.71
22608;No;490;490;93;0.95;1092;0.74;0.71
22653;No;490;490;93;0.95;1098;0.74;0.71
22699;No;490;490;93;0.95;1103;0.74;0.71
22739;No;490;490;93;0.95;1109;0.74;0.71
22781;No;490;490;93;0.95;1114;0.75;0.71
22820;No;490;490;93;0.95;1120;0.75;0.71
