time(ms);MISFIRE;CATEMP11(°C);CATEMP21(°C);ECT(°C);TFTV(V);RPM(1/min);O2S12(V);O2S22(V)
0;No;-;-;-;-;-;-;-
0;No;479;-;-;-;-;-;-
72;No;479;479;-;-;-;-;-
87;No;479;479;94;-;-;-;-
129;No;479;479;94;0.93;-;-;-
168;No;479;479;94;0.93;647;-;-
222;No;479;479;94;0.93;646;0.77;-
237;No;479;479;94;0.93;645;0.77;0.74
277;No;479;479;94;0.93;644;0.77;0.74
316;No;479;479;94;0.93;644;0.77;0.74
371;No;479;479;94;0.93;642;0.77;0.74
387;No;479;479;94;0.93;642;0.77;0.74
427;No;479;479;94;0.93;641;0.77;0.74
466;No;479;479;94;0.93;640;0.77;0.74
530;No;478;479;94;0.93;641;0.77;0.74
574;No;478;478;94;0.93;642;0.77;0.74
619;No;478;478;94;0.93;643;0.77;0.74
671;No;478;478;94;0.93;644;0.77;0.74
709;No;478;478;94;0.93;644;0.77;0.74
750;No;478;478;94;0.93;646;0.77;0.74
809;No;478;478;94;0.93;646;0.77;0.74
857;No;478;478;94;0.93;648;0.77;0.74
898;No;478;478;94;0.93;648;0.77;0.74
972;No;478;478;94;0.93;648;0.77;0.74
988;No;478;478;94;0.93;648;0.77;0.74
1027;No;478;478;94;0.93;649;0.77;0.74
1066;No;478;478;94;0.93;649;0.77;0.74
1107;No;478;478;94;0.93;649;0.77;0.74
1151;No;478;478;94;0.93;650;0.77;0.74
1168;No;478;478;94;0.93;650;0.77;0.74
1207;No;478;478;94;0.93;652;0.77;0.74
1272;No;478;478;94;0.93;654;0.77;0.74
1287;No;478;478;94;0.93;656;0.77;0.74
1327;No;478;478;94;0.93;658;0.77;0.74
1366;No;478;478;94;0.93;660;0.77;0.74
1429;No;478;478;94;0.93;662;0.77;0.74
1470;No;478;478;94;0.93;664;0.77;0.74
1513;No;478;478;94;0.93;666;0.77;0.74
1571;No;478;478;94;0.93;667;0.77;0.74
1587;No;478;478;94;0.93;668;0.77;0.74
1625;No;478;478;94;0.93;668;0.77;0.74
1667;No;478;478;94;0.93;670;0.77;0.74
1706;No;478;478;94;0.93;670;0.77;0.74
1746;No;478;478;94;0.93;671;0.77;0.74
1786;No;478;478;94;0.93;672;0.77;0.74
1825;No;478;478;94;0.93;673;0.77;0.74
1904;No;478;478;94;0.93;673;0.77;0.74
1919;No;478;478;94;0.93;673;0.77;0.74
1961;No;478;478;94;0.93;674;0.77;0.74
2009;No;478;478;94;0.93;674;0.77;0.74
2057;No;478;478;94;0.93;674;0.77;0.74
2096;No;478;478;94;0.93;674;0.77;0.74
2173;No;478;478;94;0.93;674;0.77;0.74
2186;No;478;478;94;0.93;674;0.77;0.74
2229;No;478;478;94;0.93;673;0.77;0.74
2277;No;478;478;94;0.93;672;0.77;0.74
2317;No;477;478;93;0.93;670;0.78;0.74
2358;No;477;477;93;0.93;668;0.78;0.74
2396;No;477;477;93;0.93;667;0.78;0.74
2437;No;477;477;93;0.93;665;0.78;0.74
2507;No;477;477;93;0.93;664;0.78;0.74
2548;No;477;477;93;0.93;662;0.78;0.74
2586;No;477;477;93;0.93;662;0.78;0.74
